User,CARD INDEX,Card Brand,Card Type,Expires,Has Chip,Credit Limit,Acct Open Date,Name Initials,ID_3
1874,0,Visa,Credit,04/2021,NO,$4300,12/2013,AB,0
1874,1,Visa,Debit,02/2021,NO,$38900,06/2013,AB,0
893,0,Mastercard,Debit,08/2023,YES,$10462,03/2008,KR,1
893,1,Amex,Credit,12/2012,YES,$11000,07/2011,KR,1
893,2,Visa,Debit,12/2023,YES,$16927,03/2014,KR,1
127,0,Mastercard,Debit,05/2020,YES,$10290,02/2020,BF,2
127,1,Mastercard,Debit (Prepaid),01/2023,YES,$84,10/2018,BF,2
1146,0,Amex,Credit,03/2023,YES,$17200,03/2010,AM,3
1146,1,Visa,Debit,05/2020,YES,$23018,07/2010,AM,3
1146,2,Mastercard,Debit (Prepaid),04/2022,YES,$2,02/2020,AM,3
1146,3,Mastercard,Credit,12/2024,YES,$23500,04/2012,AM,3
1483,0,Mastercard,Debit,10/2022,NO,$13095,03/2004,LD,4
1483,1,Visa,Debit,05/2021,YES,$30822,02/2005,LD,4
1483,2,Visa,Debit,04/2023,YES,$16764,06/2007,LD,4
1483,3,Mastercard,Credit,05/2022,NO,$5700,12/2005,LD,4
1483,4,Mastercard,Debit,07/2023,YES,$18482,11/2013,LD,4
892,0,Mastercard,Credit,06/2021,YES,$7800,12/2007,RW,5
1300,0,Mastercard,Debit,12/2021,YES,$1680,01/2020,DM,6
1821,0,Mastercard,Credit,10/2020,YES,$12300,05/2010,BR,7
1821,1,Amex,Credit,04/2024,YES,$11100,02/2016,BR,7
1821,2,Visa,Debit (Prepaid),11/2020,YES,$93,07/2019,BR,7
1821,3,Mastercard,Credit,07/2024,YES,$9500,09/2010,BR,7
960,0,Mastercard,Debit,03/2022,YES,$27243,01/2012,SH,8
960,1,Visa,Debit,02/2017,YES,$23237,02/2007,SH,8
960,2,Visa,Debit,10/2022,YES,$16008,11/2011,SH,8
960,3,Mastercard,Debit,02/2022,YES,$16279,01/2012,SH,8
960,4,Mastercard,Debit,11/2014,NO,$16003,09/2013,SH,8
363,0,Mastercard,Debit,08/2020,YES,$19369,01/2020,JP,9
363,1,Visa,Debit (Prepaid),07/2024,YES,$70,01/2020,JP,9
363,2,Mastercard,Debit,10/2020,YES,$15127,02/2020,JP,9
363,3,Discover,Credit,03/2022,YES,$9400,01/2020,JP,9
363,4,Visa,Credit,06/2022,YES,$5400,02/2020,JP,9
798,0,Mastercard,Debit,01/2023,YES,$16050,03/2003,PT,10
798,1,Mastercard,Debit,03/2007,YES,$17257,12/2005,PT,10
798,2,Visa,Debit,04/2012,YES,$20573,11/2008,PT,10
70,0,Mastercard,Debit,09/2021,YES,$17941,04/2009,EC,11
1214,0,Mastercard,Debit (Prepaid),10/2008,YES,$58,11/2007,KL,12
35,0,Mastercard,Debit,11/2023,YES,$10775,02/2009,AA,13
35,1,Mastercard,Debit (Prepaid),02/2020,YES,$105,06/2007,AA,13
4,0,Mastercard,Debit,01/2022,YES,$34900,12/1999,KP,14
1276,0,Amex,Credit,10/2021,NO,$6000,12/2015,LT,15
930,0,Mastercard,Debit,02/2020,YES,$5836,01/2020,JR,16
722,0,Mastercard,Debit,08/2023,YES,$33150,01/2020,KA,17
722,1,Mastercard,Debit (Prepaid),02/2020,NO,$57,02/2020,KA,17
722,2,Mastercard,Debit (Prepaid),11/2022,YES,$55,10/2011,KA,17
622,0,Mastercard,Debit,02/2021,YES,$43673,07/2010,CS,18
622,1,Mastercard,Debit,02/2020,YES,$43973,12/2017,CS,18
622,2,Mastercard,Debit,05/2018,YES,$28069,08/2015,CS,18
622,3,Mastercard,Debit,11/2023,YES,$30366,10/2009,CS,18
0,0,Visa,Debit,12/2022,YES,$24295,09/2002,HR,19
0,1,Visa,Debit,12/2020,YES,$21968,04/2014,HR,19
0,2,Visa,Debit,02/2024,YES,$46414,07/2003,HR,19
0,3,Visa,Credit,08/2024,NO,$12400,01/2003,HR,19
0,4,Mastercard,Debit (Prepaid),03/2009,YES,$28,09/2008,HR,19
257,0,Mastercard,Debit,10/2023,YES,$2883,03/2008,BN,20
257,1,Mastercard,Debit,05/2023,YES,$28886,04/2003,BN,20
257,2,Discover,Credit,11/2022,YES,$14400,01/2009,BN,20
257,3,Mastercard,Debit (Prepaid),12/2023,NO,$86,06/2008,BN,20
257,4,Mastercard,Credit,02/2024,NO,$11800,12/2008,BN,20
257,5,Mastercard,Credit,02/2021,YES,$18900,08/2003,BN,20
257,6,Mastercard,Debit,06/2020,YES,$37318,04/2018,BN,20
993,0,Visa,Debit,08/2024,YES,$367,12/2006,MA,21
993,1,Mastercard,Debit,06/2022,YES,$441,09/2009,MA,21
1423,0,Visa,Debit,08/2022,YES,$5520,04/2010,AG,22
1423,1,Visa,Debit,06/2023,NO,$1559,06/2007,AG,22
1423,2,Visa,Debit,06/2022,YES,$11836,06/2003,AG,22
1423,3,Mastercard,Debit,09/2024,YES,$19211,01/2004,AG,22
1423,4,Visa,Debit,08/2019,YES,$5909,10/2008,AG,22
1423,5,Visa,Debit,04/2018,YES,$16410,04/2001,AG,22
438,0,Mastercard,Debit,08/2019,YES,$13206,03/2018,BEM,23
438,1,Visa,Debit,08/2024,YES,$11809,11/2004,BEM,23
438,2,Discover,Credit,06/2024,YES,$8800,03/2006,BEM,23
691,0,Visa,Credit,11/2023,YES,$12500,01/2013,EF,24
691,1,Amex,Credit,05/2017,YES,$13700,08/2009,EF,24
956,0,Visa,Debit,04/2020,NO,$14751,07/1999,NG,25
1707,0,Mastercard,Debit,02/2020,NO,$18261,02/2020,HH,26
95,0,Discover,Credit,11/2024,YES,$4200,06/2016,CJ,27
1116,0,Mastercard,Debit,12/2020,YES,$26764,11/2009,MH,28
1116,1,Mastercard,Debit,10/2010,YES,$32035,05/2010,MH,28
505,0,Visa,Credit,03/2024,YES,$1500,01/2005,MS,29
505,1,Visa,Debit,01/2020,YES,$14813,01/2020,MS,29
187,0,Mastercard,Debit (Prepaid),10/2021,YES,$23,09/2006,ED,30
187,1,Visa,Credit,09/2023,NO,$5200,11/1999,ED,30
991,0,Mastercard,Debit,11/2020,YES,$10644,02/2005,AJ,31
991,1,Visa,Debit,01/2015,YES,$13438,09/2013,AJ,31
991,2,Mastercard,Debit,05/2023,YES,$14269,02/1999,AJ,31
1693,0,Mastercard,Debit,03/2022,YES,$13345,07/2007,AP,32
1693,1,Visa,Credit,11/2024,YES,$8000,08/2011,AP,32
1693,2,Mastercard,Debit (Prepaid),03/2022,YES,$87,10/2008,AP,32
1693,3,Mastercard,Debit,10/2024,YES,$6395,01/2006,AP,32
624,0,Mastercard,Debit (Prepaid),01/2020,YES,$70,04/2010,RM,33
624,1,Visa,Debit,08/2022,YES,$60610,03/2008,RM,33
624,2,Mastercard,Debit,05/2022,YES,$50961,08/2008,RM,33
624,3,Visa,Debit,10/2020,YES,$31896,08/2014,RM,33
624,4,Amex,Credit,10/2013,YES,$30500,10/2006,RM,33
624,5,Amex,Credit,10/2015,YES,$19300,11/2010,RM,33
624,6,Mastercard,Credit,06/2006,YES,$24600,02/2003,RM,33
1150,0,Mastercard,Credit,12/2024,YES,$18300,07/2006,AH,34
1150,1,Mastercard,Debit,04/2023,YES,$19959,07/2003,AH,34
1150,2,Visa,Credit,10/2020,YES,$24300,01/2017,AH,34
1150,3,Visa,Credit,07/2021,NO,$18900,10/2009,AH,34
